"행사ID","행사명","장소","행사내용","행사시작일자","행사종료일자","행사시작시각","행사종료시각","요금정보","입장연령","주차장보유여부","소재지도로명주소","소재지지번주소","위도","경도"
6003,"2023년도 제6회 소요산 108산사음악회","소요산 야외음악당","소요산을 찾는 등산객 및 불교 신도들에게 힐링 및 문화교류 등",23/05/06,23/05/06,"14:00","17:00","무료","제한 X","Y","경기도 동두천시 평화로 2910번길 145","경기도 동두천시 상봉암동 산 1-1",37.94651817,127.0693409
6004,"제11회 동두천시립이담농악단 정기공연 <이판사판>","시민회관 공연장","전통 농악공연+양금연주+줄타기 등",22/12/19,22/12/19,"19:00","20:30","무료","제한 X","Y","경기도 동두천시 어수로 4","경기도 동두천시 상패동 122",37.9052325,127.0430631
6005,"재11회 동두천시립합창단 정기공연 <다시+새롭게>","시민회관 공연장","정통 모차르트 클래식 공연+오케스트라 협연+한국가곡+대중가요 연주",22/12/22,22/12/22,"19:00","20:40","무료","제한 X","Y","경기도 동두천시 어수로 4","경기도 동두천시 상패동 122",37.9052325,127.0430631
6006,"제23회 송년음악회","시민회관 공연장","윈드오케스트라+트롯가수 강혜연 초청공연 등",22/12/13,22/12/13,"19:00","20:30","무료","제한 X","Y","경기도 동두천시 어수로 4","경기도 동두천시 상패동 122",37.9052325,127.0430631
6007,"국악한마당 5인 5색","시민회관 공연장","국악협회 회원+명인 초청 공연",22/12/12,22/12/12,"18:30","20:00","무료","제한 X","Y","경기도 동두천시 어수로 4","경기도 동두천시 상패동 122",37.90526295,127.0430632
6008,"소통과 화합의 콘서트","지행역 4번 출구","윈드오케스트라+시립예술단+28사단 군악대+28사단 태풍밴드(보컬 가수 태오) 연주",22/10/03,22/10/03,"17:00","18:30","무료","제한 X","Y","경기도 동두천시 평화로 2285","경기도 동두천시 지행동 424-1",37.8918361,127.0556431
6009,"2022 문화의 날 - 음악살롱","보산동 치어스","록밴드 등 클럽공연",22/10/01,22/10/01,"18:30","20:30","무료","제한 X","Y","경기도 동두천시 상패로 212-3","경기도 동두천시 보산동 436-20",37.917473,127.0561345
6010,"2022년 거리로 나온 예술","캠프보산","예술인 및 예술동호인들에게 공연활동 여건을 제공하고 이를 통해 일상으로 들어가 일반 시민들과 함께 즐길 수 있는 거리예술 문화 환경 조성",22/10/01,22/10/01,"15:00","17:00","무료","제한 X","Y","주소 X","경기도 동두천시 보산동 429-19",37.91656508,127.0563771
6011,"2022 문화의 날 - 턱거리음악이 흐르는 마을","광암동다목적회관","올드팝 콘서트",22/09/30,22/09/30,"19:00","20:00","무료","제한 X","Y","경기도 동두천시 광암로61번길 21","경기도 동두천시 광암동 183-2",37.893725,127.089141
6012,"동두천락페스티벌","소요산 주차장 특설무대","락밴드 경연대회 및 락 뮤지션 초청 공연",22/09/24,22/09/25,"14:00","21:00","무료","제한 X","Y","주소 X","경기도 동두천시 상봉암동 10",37.94575168,127.063992
6013,"2019 춘천아트페스티벌 리틀엔젤스예술단","춘천문화예술회관","리틀엔젤스예술단의 궁,부채춤, 미얄, 꼭두각시, 처녀총각, 시집가는날, 춘향이야기, 합창 작품의 춤과 안무 무대",19/08/07,19/08/07,"19:00","20:30","무료","만 7세 이상","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.87261579,127.7293405
6014,"(대관) Poem concert 녹우","축제극장몸짓","새롭게 선보이는 텍스트 콘서트",22/11/05,22/11/05,"17:00","18:30","유료","7세 이상","Y","강원도 춘천시 춘천로 112","강원도 춘천시 효자동 531",37.87309537,127.727858
6015,"(7월 문화가 있는 날) 브라스마켓","춘천문화예술회관","젊은 에너지로 전하는 금관앙상블",19/07/31,19/07/31,"19:30","20:40","유료","초등학생 이상","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.87261579,127.7293405
6016,"춘천인형극박물관(7월)","춘천문화예술회관","전시해설, 인형극 관람, 만들기 체험을 경험할 수 있는 전시해설 프로그램",19/07/01,19/07/31,"10:00","17:00","유료","전체관람가","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.87261579,127.7293405
6017,"춘천은 공연중 - 뻔하지 않은 fun한 타악퍼포먼스 뻔 and fun","춘천문화예술회관","뻔하지 않은 fun한 타악퍼포먼스",20/11/07,20/11/07,"14:00","15:00","무료","전체관람가","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.87261579,127.7293405
6018,"(기획) 춘천문화예술회관 로비 전시 맨 처음 기억","춘천문화예술회관","춘천문화예술회관 로비 전시",22/06/10,22/08/17,"10:00","18:00","무료","전체관람가","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.872622,127.7293405
6019,"(문화도시) 춘천 시민 그림 展 춘천형상 (연장)","강원디자인진흥원 제3,4전시실","춘천 시민 그림 展",22/07/01,22/08/28,"10:00","18:00","무료","전체관람가","Y","강원도 춘천시 삭주로145번길 46","강원도 춘천시 후평동 244-40",37.889946,127.746523
6020,"예술소통공간 곳 작가 교류전 세계와 나, 그 사이","춘천문화예술회관 전시장","예술소통공간 곳 작가 교류전",22/07/14,22/07/30,"10:00","18:00","무료","전체관람가","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.872622,127.7293405
6021,"Morning Gallery July","남춘천 문화공간역","춘천문화재단 기획공연",22/07/27,22/07/27,"11:00","12:00","유료","초등학생 이상","Y","강원도 춘천시 영서로 2260 1층 문화공간역","강원도 춘천시 퇴계동 633-2 1층 문화공간역",37.863942,127.723909
6022,"우리엄마손잡고 다정한 자장가","축제극장몸짓","공연",22/08/05,22/08/06,"11:00","11:50","유료","24개월 이상","Y","강원도 춘천시 춘천로 112","강원도 춘천시 효자동 531",37.873074,127.727863
6023,"당 타이 손 피아노 리사이틀","춘천문화예술회관","피아노 연주회",22/08/16,22/08/16,"19:30","21:10","유료","초등학생 이상","Y","강원도 춘천시 효자상길5번길 13","강원도 춘천시 효자동 산40-12",37.872622,127.7293405
6260,"고3 수능생을 위한 특별한 선물 수능 끝 YES 힙합콘서트","웅부홀","공연대중",22/11/29,22/11/29,"19:30","21:00","유료","8세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6261,"제4회 안동농아인협회 미술전시회","34갤러리","전시회화",22/11/30,22/12/07,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6262,"2022 뮤지컬 이육사 시즌3","웅부홀","공연뮤지컬",22/10/29,22/10/29,"17:00","18:20","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6263,"2022 뮤지컬 이육사 시즌3","웅부홀","공연뮤지컬",22/10/29,22/10/29,"19:30","20:40","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6264,"2022 뮤지컬 이육사 시즌3","웅부홀","공연뮤지컬",22/10/30,22/10/30,"19:00","20:20","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6265,"호산 윤병한 월영교 사계 사진전","34갤러리","전시사진",22/11/01,22/11/05,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6266,"경북북부사진동아리연합전시회","35갤러리","전시사진",22/11/01,22/11/05,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6267,"희망 플러스 가을 음악회","백조홀","공연클래식",22/11/01,22/11/01,"19:00","21:00","무료","7세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6268,"국립안동대학교 음악과 제41회 정기연주회","백조홀","공연클래식",22/11/03,22/11/03,"19:30","21:10","무료","7세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6269,"2022문예회관과 함께하는 방방곡곡 문화공감 문예회관 예술단체 공연콘텐츠 공동제작 배급프로그램 음악극 이상과 슈만","웅부홀","공연뮤지컬",22/11/04,22/11/04,"19:30","21:10","유료","8세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6270,"2022문예회관과 함께하는 방방곡곡 문화공감 문예회관 예술단체 공연콘텐츠 공동제작 배급프로그램 음악극 이상과 슈만","웅부홀","공연뮤지컬",22/11/05,22/11/05,"15:00","16:40","유료","8세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6271,"제40회 목연서회전","35갤러리","전시서예",22/11/08,22/11/14,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6272,"임현오 개인전","34갤러리","전시회화",22/11/09,22/11/13,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
