"축제ID","축제명","개최장소","축제시작일자","축제종료일자","축제내용","홈페이지주소","소재지도로명주소","소재지지번주소","위도","경도"
1281,"제20회 강북구 3·1독립운동 기념행사","서울특별시 강북구 우이동 봉황각 및 만남의 광장",24/03/01,24/03/01,"기념식, 공연 및 체험 프로그램","www.gangbuk.go.kr","서울특별시 강북구 삼양로173길 107-12","서울특별시 강북구 우이동 254",37.66019851,127.0060603
1282,"4.19혁명 국민문화제","서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원",24/04/08,24/04/19,"4.19혁명 기념+국민문화제","www.festival419.org/","서울특별시 강북구 도봉로89길 13","서울특별시 강북구 수유동 192-59",37.63918553,127.0254518
1283,"종교연합바자회","서울특별시 강북구 한신대신학대학원",24/10/12,24/10/12,"종교연합 바자회 기증물품 판매+문화공연 수익금전액 난치병어린이돕기 후원","www.gangbuk.go.kr","서울특별시 강북구 인수봉로 159","서울특별시 강북구 수유동 498-16",37.6350142,127.0129382
1284,"2023 관악겨울예술축제 : Winter Festival is Coming to Town","관악문화재단 관악아트홀",23/11/23,24/01/28,"전세대가 공감할 수 있는 다채로운 공연/전시 프로그램을 통해 예술로 따뜻한 온기를 전하는 관악겨울예술축제","https://gfac.or.kr/","서울특별시 관악구 신림로3길 35","서울특별시 관악구 신림동 209-1",37.46759765,126.9448709
1285,"2024 그루브 인 관악","별빛내린천(도림천)",24/06/15,24/06/16,"관악구 특성화 장소에서 펼쳐지는 글로벌 스트리트 컬처 축제","https://gfac.or.kr/","서울특별시 관악구 관천로 53","서울특별시 관악구 신림동 1472-1",37.48474926,126.9250817
1286,"2024 관악강감찬축제","낙성대공원+별빛내린천",24/10/11,24/10/13,"고려 명장 강감찬 장군의 호국정신을 기리고자 개최되는 서울의 대표적인 역사문화축제이자 관악구민이 함께 만들고 즐기는 축제","https://ggcfest.com/","서울특별시 관악구 낙성대로 77","서울특별시 관악구 봉천동 738-329",37.47197208,126.959371
1287,"이천도자기축제","이천시 신둔면 예스파크",24/04/25,24/05/06,"도자기전시+체험","http://www.ceramic.or.kr","경기도 이천시 신둔면 도자예술로5번길 109","경기도 이천시 신둔면 고척리 599-6",37.29309775,127.385686
1288,"설봉산별빛축제","설봉공원야외대공연장",23/07/15,23/08/12,"대중예술공연(총5회공연)","http://www.2000art.or.kr","경기도 이천시 경충대로2697번길 304","경기도 이천시 관고동 393-1",37.27792699,127.425921
1289,"체험문화축제","예스파크",24/04/27,24/04/28,"음식만들기+공예체험+스포츠 놀이체험","http://www.2000green.com","경기도 이천시 신둔면 도자예술로5번길 109","경기도 이천시 신둔면 고척리 599-6",37.29309775,127.385686
1290,"괴산고추축제","괴산유기농엑스포광장 일원",23/08/31,23/09/03,"세계고추전시회+고추품평회+황금고추를 찾아라 체험+속풀이고추난타 등","http://spicy-fe.kr/","충청북도 괴산군 괴산읍 임꺽정로 75","충청북도 괴산군 괴산읍 서부리 160",36.8134403,127.7885389
1291,"안성맞춤 남사당 바우덕이 축제","안성맞춤랜드+안성천 일대(작은미술관 부근)",24/10/03,24/10/06,"공식행사(개장식+개폐막식)+시립풍물단 상설공연+시민예술무대+바우덕이 국악콘서트+비봉산 행복산행+음악회+옛 장터 운영+농특산물 홍보판매 +키즈체험프로그램+저탄소 프로그램+경관조명 운영 등+전야제(길놀이)","https://www.anseong.go.kr/festival/main.do","경기도 안성시 보개면 남사당로 198","경기도 안성시 보개면 복평리 303-3번지",37.03286992,127.3078038
1292,"안성맞춤 포도축제","안성 제4산업단지 KCC 공장 옆",24/10/01,24/10/30,"포도 전시 및 직판장 운영+포도 시식+포도관련 체험+다양한 이벤트 행사+지역문화 공연+노래자랑+초청가수 공연 등","https://www.anseong.go.kr/festival/calendar/view.do?mId=0504000000&idx=91","경기도 안성시 서운면 서운중앙길 23","경기도 안성시 서운면 인리 107-4번지",36.94330477,127.2595521
1293,"죽주대고려문화축제","동안성시민복지센터",24/10/01,24/10/30,"송문주 장문 대몽항쟁 역사 및 축제 발전방향 심포지엄+콘서트 및 지역주민 장기자랑","https://www.anseong.go.kr/festival/calendar/view.do?mId=0504000000&idx=90","경기도 안성시 죽산면 남부길 60","경기도 안성시 죽산면 죽산리 499번지",37.07467485,127.4244564
1294,"제36회 지리산 뱀사골 고로쇠 약수제","남원시 산내면 부운리 반선주차장",24/03/02,24/03/02,"고로쇠 홍보 및 판매+기념식 등","홈페이지 정보 없음","전북특별자치도 남원시 산내면 지리산로 842-8","전북특별자치도 남원시 산내면 부운리 216-10",35.3769935,127.581604
1295,"힐링 개그 콘서트","꽃바위문화관 3층 다목적공연장",21/08/26,21/08/26,"개그x싱어롱","http://www.donggu.ulsan.kr/edu/menu_06/03.jsp","울산광역시 동구 문현3길 6","울산광역시 동구 방어동 1120-1",35.48705813,129.4112633
1296,"오페라 팝페라 뽕페라","꽃바위문화관 3층 다목적공연장",21/09/30,21/09/30,"콘서트","http://www.donggu.ulsan.kr/edu/menu_06/03.jsp","울산광역시 동구 문현3길 6","울산광역시 동구 방어동 1120-1",35.48705813,129.4112633
1297,"박강수콘서트","꽃바위문화관 3층 다목적공연장",21/10/21,21/10/21,"콘서트","http://www.donggu.ulsan.kr/edu/menu_06/03.jsp","울산광역시 동구 문현3길 6","울산광역시 동구 방어동 1120-1",35.48705813,129.4112633
1298,"퓨전 국악의 향연","꽃바위문화관 3층 다목적공연장",23/05/19,23/05/19,"국악","홈페이지 정보 없음","울산광역시 동구 문현3길 6","울산광역시 동구 방어동 1120-1",35.48705813,129.4112633
1299,"한국창작무용 베리끝 애화","꽃바위문화관 3층 다목적공연장",23/07/01,23/07/01,"무용","홈페이지 정보 없음","울산광역시 동구 문현3길 6","울산광역시 동구 방어동 1120-2",35.48705813,129.4112633
1300,"슬도아트 개관전 사우스 스웰","슬도아트",24/01/19,24/03/10,"전시","https://naver.me/5qaXTiVI","울산광역시 동구 성끝길 103","울산광역시 동구 방어동 3-42",35.48090382,129.4327723
1301,"문화공장 방어진 랜드스케이프: 풍경","문화공장 방어진",24/01/26,24/03/03,"전시","홈페이지 정보 없음","울산광역시 동구 중진2길 5","울산광역시 동구 방어동 1539",35.4835744074,129.4242217376
1302,"2024 청양고추구기자문화축제","백세건강공원",24/08/30,24/09/01,"공연+전시+판매+체험+부대행사 등","https://칠갑마루.com/f23/","주소 X","충청남도 청양군 청양읍 읍내리 377-10",36.44503302,126.8034215
1303,"제25회 칠갑산장승문화축제","칠갑산장승공원",24/04/20,24/04/21,"대장승퍼레이드+장승대제+전통 장승깎기","홈페이지 정보 없음","충청남도 청양군 대치면 장곡길119-17","충청남도 청양군 대치면 장곡리 75",36.40982229,126.8501828
